No,Company Name,What They Do,Location,Impact,Problem They Solve,Grants,Institutional Support,MaGIC Accredited,Sector,Website/Social Media,Target Beneficiaries,Revenue Model,Year Founded,Awards
23,Batik Boutique,Handmade batik products by B40 women,Kuala Lumpur,Provides income opportunities for B40 women,Unemployment among B40 women,-,-,Yes,"Women Empowerment, Cultural Heritage",www.thebatikboutique.com,B40 Women,Product Sales,2014,MaGIC SE Accreditation
25,Komuniti Tukang Jahit (KTJ),Provides sewing jobs to B40 women,Kuala Lumpur,Empowers B40 women through employment opportunities,Lack of employment for B40 women,-,-,Yes,"Women Empowerment, Livelihood",www.ktjmalaysia.com,B40 Women,Product Sales (Sewing Services),2018,-
26,Unplug,Promotes sustainable living through curated products,Kuala Lumpur,Encourages sustainable consumer habits,Environmental degradation due to unsustainable consumption,-,-,No,"Sustainability, Retail",www.shopunplug.com,General Public,Product Sales,2019,-
28,GoodKids,Uses performing arts to empower at-risk youth,Klang Valley,Builds confidence and skills among at-risk youth,Lack of self-esteem and opportunities for at-risk youth,MaGIC SIM Grant,-,Yes,"Youth Empowerment, Arts",www.goodkids.com.my,At-risk Youth,"Workshops, Performances",2013,-
29,Pinkcollar,Provides ethical recruitment services for migrant workers,Kuala Lumpur,Reduces exploitation in migrant worker recruitment,Unethical recruitment practices,MaGIC SIM Grant,-,Yes,"Migrant Worker Rights, Employment",www.pinkcollar.co,Migrant Workers,Service Fees,2017,-
30,ERTH (E-waste Recycling Through Heroes),Collects and recycles electronic waste,Kuala Lumpur,Promotes responsible e-waste disposal,Electronic waste pollution,MaGIC SIM Grant,-,Yes,"Environmental Sustainability, Recycling",www.erth.app,General Public,Service Fees,2016,-
31,HariGaji,Offers earned wage access to employees,Kuala Lumpur,Improves financial security for workers,Limited access to earned wages,MaGIC SIM Grant,-,Yes,"Financial Inclusion, Fintech",www.harigaji.com,Employees,Subscription Model,2020,-
32,OA Organik,Supports Orang Asli farmers through organic agriculture,Perak,Empowers indigenous communities through sustainable farming,Lack of market access for indigenous farmers,MaGIC SIM Grant,-,Yes,"Agriculture, Indigenous Rights",www.oaorganik.com,Orang Asli Farmers,Product Sales,2015,-
33,Global Cerah,Produces alternative protein from agricultural waste,Kuala Lumpur,Reduces food waste and promotes sustainable protein sources,Food waste and protein scarcity,"Khazanah Impact Innovation Challenge, Sunway iLabs",-,No,"Agriculture, Sustainability",www.globalcerah.com,General Public,Product Sales,2023,-
34,ANB Agro Trainers,Provides agricultural training for community empowerment,Kuala Lumpur,Empowers communities through agriculture-based training,Lack of skills and employment opportunities,MaGIC Amplify Award,-,Yes,"Agriculture, Community Development",www.anbagro.com,Disadvantaged Communities,Training Services,2014,-
35,PT Foundation,Offers healthcare and support services for key populations,Kuala Lumpur,Provides healthcare access to marginalized groups,HIV/AIDS stigma and lack of healthcare access,-,-,Yes,"Healthcare, LGBTQ+ Support",www.ptfmalaysia.org,Key Populations,"Service Fees, Donations",1987,UNAIDS Red Ribbon Award
36,Kechara Soup Kitchen,Provides food and support to the homeless and urban poor,Kuala Lumpur,Addresses hunger and homelessness in urban areas,Homelessness and food insecurity,-,-,No,"Hunger Relief, Poverty Alleviation",www.kechara.com/soup-kitchen,"Homeless Individuals, Urban Poor","Donations, Volunteer Support",2006,-
37,Wild Asia,Promotes responsible tourism and environmental conservation,Kuala Lumpur,Supports sustainable tourism and conservation efforts,Environmental degradation and unsustainable tourism,-,-,Yes,"Environmental Conservation, Tourism",www.wildasia.org,"Tourism Industry, Local Communities",Consultancy Services,1998,-
38,Amanah Ikhtiar Malaysia,Provides microcredit to low-income individuals,Kuala Lumpur,Empowers low-income individuals through microfinance,Lack of access to financial services,-,-,No,"Microfinance, Poverty Alleviation",www.aim.gov.my,Low-Income Individuals,Microloans,1987,-
39,Sasem Team,Develops micro farming solutions for rural schools,Sabah,Improves food security and education in rural areas,Food scarcity and lack of agricultural education,-,-,No,"Agriculture, Education",-,Rural Schools,Product Sales (Farming Kits),2020,-
40,Seda Collective,Offers fair trade platform for indigenous artisans,Sarawak,Empowers indigenous women through fair trade,Market access for indigenous artisans,-,-,No,"Cultural Heritage, Women Empowerment",www.sedacollective.com,Indigenous Women,Product Sales (Crafts),2020,-
